# UNLaM: Universidad Nacional de La Matanza
# www.unlam.edu.ar
-64,-2
-64,-1
-64,0
-64,1
-64,2
-64,3
-64,4
-64,5
-64,6
-64,7
-64,8
-64,9
-64,10
-64,11
-64,12
-64,13
-64,14
-64,15
-64,16
-63,-6
-63,-5
-63,-4
-63,-3
-63,-2
-63,-1
-63,0
-63,1
-63,2
-63,3
-63,4
-63,5
-63,6
-63,7
-63,8
-63,9
-63,10
-63,11
-63,12
-63,13
-63,14
-63,15
-63,16
-63,17
-63,18
-63,19
-62,-7
-62,-6
-62,-5
-62,-4
-62,-3
-62,-2
-62,-1
-62,0
-62,1
-62,2
-62,3
-62,4
-62,5
-62,6
-62,7
-62,8
-62,9
-62,10
-62,11
-62,12
-62,13
-62,14
-62,15
-62,16
-62,17
-62,18
-62,19
-62,20
-62,21
-61,-9
-61,-8
-61,-7
-61,-6
-61,-5
-61,-4
-61,-3
-61,-2
-61,-1
-61,0
-61,1
-61,2
-61,3
-61,4
-61,5
-61,6
-61,7
-61,8
-61,9
-61,10
-61,11
-61,12
-61,13
-61,14
-61,15
-61,16
-61,17
-61,18
-61,19
-61,20
-61,21
-61,22
-61,23
-60,-10
-60,-9
-60,-8
-60,-7
-60,-6
-60,-5
-60,-4
-60,-3
-60,-2
-60,-1
-60,0
-60,1
-60,2
-60,3
-60,4
-60,5
-60,6
-60,7
-60,8
-60,9
-60,10
-60,11
-60,12
-60,13
-60,14
-60,15
-60,16
-60,17
-60,18
-60,19
-60,20
-60,21
-60,22
-60,23
-60,24
-59,-11
-59,-10
-59,-9
-59,-8
-59,-7
-59,-6
-59,-5
-59,-4
-59,-3
-59,-2
-59,-1
-59,0
-59,1
-59,2
-59,3
-59,4
-59,5
-59,6
-59,7
-59,8
-59,9
-59,10
-59,11
-59,12
-59,13
-59,14
-59,15
-59,16
-59,17
-59,18
-59,19
-59,20
-59,21
-59,22
-59,23
-59,24
-59,25
-58,-13
-58,-12
-58,-11
-58,-10
-58,-9
-58,-8
-58,-7
-58,-6
-58,-5
-58,-4
-58,-3
-58,-2
-58,-1
-58,0
-58,1
-58,2
-58,3
-58,4
-58,5
-58,6
-58,14
-58,15
-58,16
-58,17
-58,18
-58,19
-58,20
-58,21
-58,22
-58,23
-58,24
-58,25
-58,26
-58,27
-57,-14
-57,-13
-57,-12
-57,-11
-57,-10
-57,-9
-57,-8
-57,-7
-57,-6
-57,-5
-57,-4
-57,-3
-57,-2
-57,-1
-57,0
-57,1
-57,2
-57,3
-57,4
-57,5
-57,6
-57,7
-57,8
-57,9
-57,15
-57,16
-57,17
-57,18
-57,19
-57,20
-57,21
-57,22
-57,23
-57,24
-57,25
-57,26
-57,27
-57,28
-56,-15
-56,-14
-56,-13
-56,-12
-56,-11
-56,-10
-56,-9
-56,-8
-56,-7
-56,-6
-56,-5
-56,-4
-56,-3
-56,-2
-56,-1
-56,0
-56,1
-56,2
-56,3
-56,4
-56,5
-56,6
-56,7
-56,8
-56,9
-56,10
-56,11
-56,12
-56,18
-56,19
-56,20
-56,21
-56,22
-56,23
-56,24
-56,25
-56,26
-56,27
-56,28
-56,29
-55,-16
-55,-15
-55,-14
-55,-13
-55,-12
-55,-11
-55,-10
-55,-9
-55,-8
-55,-7
-55,-6
-55,-5
-55,-4
-55,-3
-55,-2
-55,-1
-55,0
-55,1
-55,2
-55,3
-55,4
-55,5
-55,6
-55,7
-55,8
-55,9
-55,10
-55,11
-55,12
-55,13
-55,19
-55,20
-55,21
-55,22
-55,23
-55,24
-55,25
-55,26
-55,27
-55,28
-55,29
-55,30
-54,-17
-54,-16
-54,-15
-54,-14
-54,-13
-54,-12
-54,-11
-54,-10
-54,-9
-54,-8
-54,-7
-54,-6
-54,-5
-54,5
-54,6
-54,7
-54,8
-54,9
-54,10
-54,11
-54,12
-54,13
-54,14
-54,15
-54,21
-54,22
-54,23
-54,24
-54,25
-54,26
-54,27
-54,28
-54,29
-54,30
-54,31
-53,-18
-53,-17
-53,-16
-53,-15
-53,-14
-53,-13
-53,-12
-53,-11
-53,-10
-53,-9
-53,-5
-53,-4
-53,-3
-53,7
-53,8
-53,9
-53,10
-53,11
-53,12
-53,13
